Repository name,Updated,Title
/kairess/mental-health-chatbot,"on May 30, 2023",심리상담 정신건강 상담 챗봇. AI chatbot for psychology consultation.
/jahnavik186/AI-Mental-Health-Companion,"on Nov 19, 2025","An intelligent, interactive mental health companion that uses Large Language Models (LLMs) combined with RAG to provide context-aware mental"
/PoyBoi/MindEase,"on May 26, 2025",AI based Mental Health Counsellor / Mental Health Assistant
/Shivam1337/MindCrafter,"on Nov 25, 2022",AI & ML Based Mental Health Diagnosis & Consulting App.
/RCTS-IIITH/AI-Assisted-Mental-Health-Screening-Application,"on Sep 4, 2025","To expand the scope of existing mental health screening questionnaires by creating a Chat Bot styled testing application, allowing for en…"
/dhrumilp12/Mental-Health-Companion,"on Oct 21, 2024","This app would provide mental health support through conversational AI, offering personalized advice, mood tracking, and mental health re…"
/SherazAsghar37/ai_mental_health,"on Mar 23, 2025","This app would provide mental health support through conversational AI, offering personalized advice, mood tracking, and mental health re…"
/mujiyantosvc/Facial-Expression-Recognition-FER-for-Mental-Health-Detection-,"on Jan 30, 2025","Facial Expression Recognition (FER) for Mental Health Detection applies AI models like Swin Transformer, CNN, and ViT for detecting emot…"
/galihru/MentalHealth,18 minutes ago,A comprehensive mental health monitoring application using modern web technologies.
/Sanjana-Rajagopala/AI_Healthcare_Chatbot,"on May 24, 2018",Created a chatbot that acts as virtual healthcare assistant to patients with mental health problems.
/VaibhaveS/MentalHealthWithAI,"on Jun 26, 2022","divorcePRED offers an end to end solution from predicting the state of marriage with the help of machine learning, finding like minded pe…"
/ZenYukti/OpenMindWell,on Feb 17,"AI-powered mental health support platform with anonymous chat, crisis detection, and peer support - Self-hosted & open source by Team Zen…"
/neilgebhard/ai-therapist,"on Nov 29, 2025",A personal AI therapist to help you with your mental health
/HemantKumar01/SoulScript,"on Sep 30, 2025",Personal AI Mental Health Therapist
/Mercytopsy/AI-Health-Supervisor-Agent,"on Apr 28, 2025","A multi-agent AI system designed to provide personalized health guidance across fitness, diet, and mental wellness"
/AryanNayak/Muse,"on Nov 18, 2020",An AI Mental Health Chatbot
/yogyagit/IvyHacks2024_MentalHealth,"on Apr 27, 2024",ThinkWell AI: A real-time mental health support app leveraging AI-driven CBT techniques for personalized therapy sessions.
/23W-GBAC/RHYAN2,"on Mar 12, 2024","Mental health ,cancer and AI"
/Rahul-Sahani04/Mental-Health-AI-Assistant,"on Feb 7, 2024",Mental Support Chatbot App: A Streamlit application implementing a Mental Support Chatbot powered by Google Generative AI. Engage in conv…
/alvii147/HachikosJournal,"on Aug 6, 2024",AI-based application for mental health journal writing with virtual assistant
/revolutionarybukhari/ai-calling-agent,on Feb 6,"I have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…"
/arunprasad-04/-Emotion-AI-Mental-Health-Chatbot,"on Aug 1, 2025","I have used technologies like Twilio , openai , pinecone , Mongodb, to make an automated calling agent for both inbound and outbound call…"
/BinaryStudioAcademy/bsa-2023-calmpal,"on Oct 16, 2023",AI-powered mental health application
/Sakaar-Sen/MentalHealthBot,"on Oct 19, 2023",An AI-powered mental health chatbot created using the LangChain framework.
/galihru/facemind,14 minutes ago,application uses computer vision and machine learning to analyze mental health based on facial expressions. The app includes login system…
/siddythings/system-prompts-and-models-of-ai-tools,"on May 15, 2025","A comprehensive collection of AI system prompts, tools, and implementations across various domains including healthcare, voice AI, mental h…"
/starlightknown/AIry_pages,"on Mar 14, 2022",hackOn 2.0 Hack for mental health and awareness and voice hack category
/mithatco/mental_health_multiagent,"on Aug 22, 2025",💡 Resources for the CIKM 2025 paper: Trustworthy AI Psychotherapy: Multi-Agent LLM Workflow for Counseling and Explainable Mental Disorde…
/Saurabhtbj1201/MindSpace-Digital-Mental-Health-Support-Platform,4 days ago,"The platform combines cutting-edge technology including AI, IoT, and data analytics to provide personalized mental health support, resour…"
/SohaibAamir28/Personalized_Mental_Healthcare-Chatbot,"on Dec 21, 2025","The app is an AI-powered chatbot that offers personalized mental healthcare support to users, providing evidence-based advice and helping…"
/behtar-foundation/Sukoon,"on Jun 13, 2025",We want to build open-source solutions and standards for using AI to solve mental health challenges. The goal is to apply DPI knowledge a…
/rrishi0309/Mental-Health-AI-Companion,"on Mar 13, 2025","An AI-powered Mental Health Companion leveraging Retool and GPT-4o to deliver empathetic, anonymous, and supportive conversations for str…"
/aiproduct-creators/mental-health-ai,"on Jan 25, 2024","An AI-powered Mental Health Companion leveraging Retool and GPT-4o to deliver empathetic, anonymous, and supportive conversations for str…"
/Sukoon-A-Mental-Wellness-Platform/website,"on May 5, 2025","AI-powered mental health platform with dream analysis, virtual therapy, and student wellness tools."
/TAHIR0110/ThereForYou,"on Feb 3, 2025","ThereForYou: Your mental health ally. Kai, our AI assistant, offers compassionate support. Track your mood trends, find solace in a secur…"
/shreyasharma04/HealthChatbot,"on Feb 21, 2022","... used are diagnostics, patient engagement outside medical facilities, and mental health. In our major we are working on diagnostic. 📃 …"
/Anil951/Early-detection-of-mental-health,"on Nov 13, 2024","This project develops a predictive model to identify early signs of mental health issues in adolescents using social media activity, scho…"
/zenn-ai/zen,"on Dec 22, 2023",Zen - AI Mental Health Counselor
/demoslayer/Mental-health-Chatbot-MERN-STACK,"on Oct 6, 2024",The Mental Health Chatbot is a MERN stack web app that provides users with mental health support through an AI-powered chatbot. Users can…
/Bhargav1144/Mental_Health_Chatbot,"on Mar 4, 2025","A Streamlit-based AI chatbot offering compassionate mental health support using models like Mistral, LLaMA, DeepSeek, and Cohere. It prov…"
/djpapzin/MentalWellnessChatbot,"on Oct 13, 2023","AI chatbot for mental health advice using Streamlit, LangChain, and Llama 2 by Meta. Retrieves info from PDFs and offers real-time responses"
/h8-hackathon/livy,"on Mar 10, 2023",Online Counseling App for Mental Health
/Elliot-D-Hill/abcd,"on Nov 26, 2025",Leveraging the largest US study of adolescent neurodevelopment to train AI models for longitudinal mental health prediction
/annu12340/Haven,"on Dec 29, 2024","Winner of the international MongoDB AI Hackathon, Haven is an AI-powered solution empowering women in abusive situations with discreet h…"
/Aditya-Ohri/Self.ai,"on Dec 15, 2019",An AI-powered mental health platform built at Hack the Hammer 2
/darshitk19/AI-Powered_Mental_Health_Prediction_System,"on Jul 27, 2025","A deep learning project that predicts emotions from multiple data types — text, audio, and images. It uses CNNs for visual cues, RNNs for…"
/amrita-thakur/mental-healthcare-chatbot,"on Jan 22, 2025",This repository contains a mental healthcare chatbot application
/miriandres/Happy2Help-chatbot,"on Oct 7, 2022",🧠 Happy2Help is your mental health chatbot
/deepakuy/mindbridge-ai-hackathon,"on Sep 11, 2025",AI-powered mental health early intervention system
/Adedolapo-Oguntayo/Basic-Needs-Basic-Rights-Kenya-Tech4Mental-Health,"on Jun 13, 2020",Around 1 in 4 people will experience a mental health problem this year. Low-income countries have an estimated treatment gap of 85% (as c…
/HongyiZhan/MentalHealth-GenAI-Chatbot,"on Oct 14, 2023",This project is not just about offering support for mental health concerns; it's a gateway to leveraging cutting-edge Natural Language Pr…
/TiffanyAllvin08/mental_health_assistant,"on Sep 30, 2025","An **AI-powered wellness and productivity web app** built with **Gradio**, **Hugging Face Transformers**, and **PyTorch**. It helps users…"
/Hymeis/H4H2025-HeartEcho,"on Feb 16, 2025",AI-Powered Anonymous Mental Health Companion
/njacobsonlab/Pretrained-Actigraphy-Transformer,16 days ago,"This is the GitHub associated with the paper ""AI Foundation Models for Wearable Movement Data in Mental Health Research"""
/emirgocen03/mental-health-text-classification,"on Jun 15, 2025","🧠 Multi-model machine learning approach for mental health classification from social media text. Compares BERT, LSTM, and SVM models achi…"
/Algeo3603/SuzieBrainBot_Synergy_4-kill-a-byte,"on Mar 16, 2024",AI-driven suicide detection and mental health monitoring based on EEG data.
/devansharora18/caress,"on Oct 1, 2023",Caress is a revolutionary mental health app designed to streamline therapy processes and promote holistic well-being.
/Vijayaa21/dost.ai,24 days ago,Dost AI - Mental Health Companion Chatbot
/judd69/tabula_rasa,"on Jan 8, 2025",AI-Powered Mental Health Companion
/Prity18/Mental-Health-AI,"on Oct 2, 2021",AI-Powered Mental Health Companion
/anasaqeeel/Mental_Health_Ai,"on Nov 12, 2024",AI-Powered Mental Health Companion
/smyt0058/ai-for-mental-health,"on Apr 26, 2018",A.I For Mental Health Open Source Project. OSO
/vamsikunal/Text-Based-AI-Bot-for-Monitoring-Mental-Health,"on Sep 12, 2023",A.I For Mental Health Open Source Project. OSO
/CAS-SIAT-XinHai/awesome-ai-mental-health,"on Dec 13, 2025",A.I For Mental Health Open Source Project. OSO
/ArpitGupta4957/suno_samjho,25 days ago,"Suno – Samjho is your personal mental health companion app that blends AI, speech & text analysis, and clinical models to help detect ear…"
/devTejaSrinivas/mental-health-AI,23 days ago,An AI powered web application that helps track and analyze mental health of patients
/Rawan19/Conversational-AI-Chatbot-for-the-Elderly-and-Disabled,"on Jan 29, 2023",A virtual caregiver system that extracts the expression of mental and physical health states through dialogue-based human-computer intera…
/AIwithhassan/safespace-ai-therapist,"on Aug 1, 2025","Introducing SafeSpace — an AI Mental Health Therapist powered by agents, specialist models & real-world tools. In this tutorial, I walk t…"
/SparkFan626/gsoc2025-ai4mh,"on Sep 28, 2025",AI-powered behavioral analysis for mental health crisis detection (GSoC 2025 @ HumanAI)
/kiritocode1/Memories,"on Oct 7, 2023",An Ai based experimental mental health expert to talk to
